
method,ccn,ccn2,cloc,eloc,lloc,loc,ncloc,npath,
peekByte,1.0,1.0,0.0,6.0,4.0,6.0,6.0,1.0,  
peekInt,1.0,1.0,0.0,6.0,4.0,6.0,6.0,1.0,  
peekLong,1.0,1.0,0.0,6.0,4.0,6.0,6.0,1.0,  
peekDouble,1.0,1.0,0.0,6.0,4.0,6.0,6.0,1.0,  
peekUTF,1.0,1.0,0.0,6.0,4.0,6.0,6.0,1.0,  
peekLongUTF,1.0,1.0,0.0,6.0,4.0,6.0,6.0,1.0,  
AMFReader,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
readData,12.0,12.0,12.0,43.0,40.0,69.0,57.0,12.0,  
readDouble,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
readBoolean,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
readString,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
readObject,3.0,4.0,4.0,10.0,6.0,16.0,12.0,6.0,  
readMixedArray,4.0,5.0,3.0,14.0,9.0,20.0,17.0,9.0,  
readArray,2.0,2.0,0.0,8.0,5.0,9.0,9.0,2.0,  
readDate,1.0,1.0,0.0,5.0,3.0,5.0,5.0,1.0,  
readLongString,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
readXML,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
readTypedObject,1.0,1.0,0.0,4.0,2.0,4.0,4.0,1.0,  
AVCSequenceParameterSetReader,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
readData,13.0,13.0,2.0,51.0,39.0,51.0,49.0,228.0,  
skipBits,1.0,1.0,0.0,5.0,3.0,5.0,5.0,1.0,  
getBit,1.0,1.0,0.0,5.0,3.0,5.0,5.0,1.0,  
getBits,2.0,2.0,0.0,7.0,4.0,7.0,7.0,2.0,  
expGolombUe,3.0,3.0,1.0,12.0,8.0,14.0,13.0,3.0,  
expGolombSe,2.0,2.0,0.0,8.0,4.0,8.0,8.0,2.0,  
getWidth,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
getHeight,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
Analyze,85.0,94.0,38.0,211.0,169.0,281.0,243.0,3.27394494E13,  
parseEBML,186.0,190.0,18.0,544.0,470.0,697.0,679.0,1191.0,  
EnsureBufferHasEnoughData,4.0,5.0,0.0,18.0,13.0,20.0,20.0,7.0,  
readEBMLint,9.0,9.0,2.0,26.0,22.0,31.0,29.0,9.0,  
readEBMLelementData,2.0,3.0,0.0,8.0,5.0,8.0,8.0,3.0,  
getEBMLelement,4.0,8.0,7.0,20.0,15.0,35.0,28.0,20.0,  
unhandledElement,3.0,3.0,2.0,8.0,4.0,11.0,9.0,4.0,  
ExtractCommentsSimpleTag,5.0,6.0,0.0,13.0,7.0,14.0,14.0,8.0,  
HandleEMBLSimpleTag,8.0,8.0,0.0,22.0,18.0,28.0,28.0,8.0,  
HandleEMBLClusterBlock,10.0,10.0,17.0,46.0,28.0,62.0,45.0,80.0,  
EBML2Int,9.0,9.0,16.0,21.0,18.0,41.0,25.0,9.0,  
EBMLdate2unix,1.0,1.0,2.0,3.0,1.0,5.0,3.0,1.0,  
TargetTypeValue,3.0,3.0,8.0,13.0,10.0,14.0,6.0,10.0,  
BlockLacingType,3.0,3.0,1.0,10.0,7.0,11.0,10.0,10.0,  
CodecIDtoCommonName,3.0,3.0,6.0,33.0,30.0,34.0,28.0,10.0,  
EBMLidName,3.0,3.0,0.0,196.0,193.0,197.0,197.0,10.0,  
displayUnit,2.0,2.0,1.0,8.0,2.0,10.0,9.0,5.0,  
getDefaultStreamInfo,5.0,5.0,0.0,16.0,10.0,20.0,20.0,9.0,  
Analyze,29.0,39.0,14.0,114.0,89.0,143.0,129.0,6601824.0,  
QuicktimeParseAtom,310.0,321.0,257.0,985.0,911.0,1231.0,974.0,1369.0,  
QuicktimeParseContainerAtom,4.0,5.0,4.0,20.0,15.0,26.0,22.0,9.0,  
quicktime_read_mp4_descr_length,2.0,3.0,1.0,9.0,6.0,10.0,9.0,3.0,  
QuicktimeLanguageLookup,4.0,5.0,12.0,124.0,120.0,136.0,124.0,30.0,  
QuicktimeVideoCodecLookup,3.0,3.0,0.0,58.0,55.0,58.0,58.0,10.0,  
QuicktimeAudioCodecLookup,3.0,3.0,0.0,44.0,41.0,44.0,44.0,10.0,  
QuicktimeDCOMLookup,3.0,3.0,0.0,8.0,5.0,8.0,8.0,10.0,  
QuicktimeColorNameLookup,3.0,3.0,0.0,17.0,14.0,17.0,17.0,10.0,  
QuicktimeSTIKLookup,3.0,3.0,0.0,16.0,13.0,16.0,16.0,10.0,  
QuicktimeIODSaudioProfileName,3.0,3.0,0.0,58.0,4.0,58.0,58.0,10.0,  
QuicktimeIODSvideoProfileName,3.0,3.0,0.0,70.0,4.0,70.0,70.0,10.0,  
QuicktimeContentRatingLookup,3.0,3.0,0.0,9.0,6.0,9.0,9.0,10.0,  
QuicktimeStoreAccountTypeLookup,3.0,3.0,0.0,8.0,5.0,8.0,8.0,10.0,  
QuicktimeStoreFrontCodeLookup,3.0,3.0,0.0,28.0,25.0,28.0,28.0,10.0,  
QuicktimeParseNikonNCTG,27.0,27.0,33.0,152.0,103.0,177.0,144.0,1051.0,  
CopyToAppropriateCommentsSection,12.0,13.0,52.0,93.0,85.0,121.0,69.0,128.0,  
NoNullString,2.0,2.0,1.0,6.0,3.0,7.0,6.0,2.0,  
Pascal2String,1.0,1.0,1.0,3.0,1.0,4.0,3.0,1.0,  
Analyze,197.0,226.0,149.0,977.0,784.0,1248.0,1099.0,6.478247E26,  
ParseRIFF,57.0,63.0,27.0,233.0,184.0,285.0,258.0,6939.0,  
ParseRIFFdata,5.0,5.0,0.0,34.0,30.0,36.0,36.0,51.0,  
parseComments,6.0,6.0,0.0,58.0,9.0,58.0,58.0,6.0,  
parseWAVEFORMATex,2.0,2.0,1.0,20.0,17.0,24.0,23.0,2.0,  
parseWavPackHeader,4.0,4.0,11.0,44.0,39.0,60.0,49.0,6.0,  
ParseBITMAPINFOHEADER,2.0,2.0,11.0,15.0,13.0,18.0,7.0,5.0,  
ParseDIVXTAG,7.0,7.0,13.0,54.0,17.0,73.0,60.0,200.0,  
waveSNDMtagLookup,1.0,1.0,16.0,4.0,2.0,22.0,6.0,1.0,  
wFormatTagLookup,1.0,1.0,161.0,4.0,2.0,168.0,7.0,1.0,  
fourccLookup,1.0,1.0,386.0,4.0,2.0,393.0,7.0,1.0,  
EitherEndian2Int,2.0,2.0,0.0,6.0,3.0,6.0,6.0,2.0,  
Analyze,24.0,24.0,32.0,138.0,115.0,211.0,179.0,1105920.0,  
readHeaderBSI,1.0,1.0,0.0,5.0,3.0,6.0,6.0,1.0,  
sampleRateCodeLookup,2.0,2.0,1.0,9.0,2.0,9.0,8.0,5.0,  
serviceTypeLookup,5.0,5.0,0.0,19.0,14.0,20.0,20.0,25.0,  
audioCodingModeLookup,2.0,2.0,1.0,13.0,2.0,14.0,13.0,5.0,  
centerMixLevelLookup,3.0,3.0,3.0,12.0,4.0,12.0,9.0,10.0,  
surroundMixLevelLookup,3.0,3.0,0.0,12.0,4.0,12.0,12.0,10.0,  
dolbySurroundModeLookup,2.0,2.0,0.0,9.0,2.0,9.0,9.0,5.0,  
channelsEnabledLookup,5.0,5.0,0.0,24.0,12.0,24.0,24.0,4.0,  
heavyCompression,2.0,2.0,32.0,11.0,7.0,49.0,17.0,2.0,  
roomTypeLookup,2.0,2.0,0.0,9.0,2.0,9.0,9.0,5.0,  
frameSizeLookup,4.0,5.0,1.0,32.0,8.0,34.0,33.0,30.0,  
bitrateLookup,2.0,2.0,0.0,25.0,3.0,26.0,26.0,5.0,  
Analyze,13.0,16.0,9.0,85.0,76.0,102.0,93.0,4500.0,  
readBinData,1.0,1.0,0.0,5.0,3.0,6.0,6.0,1.0,  
bitrateLookup,2.0,2.0,0.0,37.0,2.0,37.0,37.0,5.0,  
sampleRateLookup,2.0,2.0,0.0,21.0,2.0,21.0,21.0,5.0,  
bitPerSampleLookup,2.0,2.0,0.0,9.0,2.0,9.0,9.0,5.0,  
numChannelsLookup,17.0,17.0,0.0,37.0,34.0,37.0,37.0,16.0,  
channelArrangementLookup,2.0,2.0,0.0,21.0,2.0,21.0,21.0,5.0,  
dialogNormalization,3.0,3.0,0.0,11.0,8.0,11.0,11.0,2.0,  
Analyze,2.0,2.0,1.0,13.0,10.0,16.0,15.0,2.0,  
parseMETAdata,33.0,34.0,15.0,117.0,86.0,142.0,127.0,366120.0,  
parseSTREAMINFO,4.0,4.0,0.0,33.0,25.0,41.0,41.0,4.0,  
parseAPPLICATION,1.0,1.0,0.0,7.0,5.0,9.0,9.0,1.0,  
parseSEEKTABLE,3.0,3.0,1.0,21.0,16.0,28.0,27.0,3.0,  
parseVORBIS_COMMENT,3.0,3.0,0.0,15.0,11.0,18.0,18.0,4.0,  
parseCUESHEET,3.0,3.0,3.0,38.0,34.0,50.0,47.0,3.0,  
parsePICTURE,3.0,3.0,0.0,26.0,17.0,30.0,30.0,4.0,  
metaBlockTypeLookup,2.0,2.0,0.0,12.0,2.0,12.0,12.0,5.0,  
applicationIDLookup,2.0,2.0,24.0,28.0,2.0,29.0,5.0,5.0,  
pictureTypeLookup,2.0,2.0,0.0,26.0,2.0,26.0,26.0,5.0,  
Analyze,31.0,44.0,9.0,100.0,77.0,132.0,123.0,4.9061376E7,  
GuessEncoderOptions,53.0,63.0,75.0,202.0,153.0,242.0,167.0,1778400.0,  
decodeMPEGaudioHeader,70.0,86.0,223.0,355.0,279.0,664.0,441.0,7.8089576E15,  
RecursiveFrameScanning,8.0,12.0,6.0,30.0,20.0,45.0,39.0,37.0,  
FreeFormatFrameLength,14.0,19.0,5.0,64.0,49.0,76.0,71.0,2652.0,  
getOnlyMPEGaudioInfoBruteForce,26.0,27.0,0.0,136.0,105.0,146.0,146.0,814560.0,  
getOnlyMPEGaudioInfo,60.0,73.0,17.0,236.0,178.0,278.0,261.0,1.12467365E12,  
MPEGaudioVersionArray,1.0,1.0,0.0,4.0,2.0,4.0,4.0,1.0,  
MPEGaudioLayerArray,1.0,1.0,0.0,4.0,2.0,4.0,4.0,1.0,  
MPEGaudioBitrateArray,2.0,2.0,0.0,17.0,6.0,18.0,18.0,2.0,  
MPEGaudioFrequencyArray,2.0,2.0,0.0,11.0,4.0,11.0,11.0,2.0,  
MPEGaudioChannelModeArray,1.0,1.0,0.0,4.0,2.0,4.0,4.0,1.0,  
MPEGaudioModeExtensionArray,2.0,2.0,0.0,11.0,4.0,11.0,11.0,2.0,  
MPEGaudioEmphasisArray,1.0,1.0,0.0,4.0,2.0,4.0,4.0,1.0,  
MPEGaudioHeaderBytesValid,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
MPEGaudioHeaderValid,19.0,19.0,8.0,60.0,44.0,71.0,63.0,2985984.0,  
MPEGaudioHeaderDecode,2.0,2.0,26.0,19.0,16.0,36.0,10.0,2.0,  
MPEGaudioFrameLength,9.0,9.0,10.0,37.0,25.0,60.0,50.0,17.0,  
ClosestStandardMP3Bitrate,5.0,5.0,0.0,19.0,12.0,19.0,19.0,5.0,  
XingVBRidOffset,2.0,2.0,4.0,23.0,4.0,25.0,21.0,2.0,  
LAMEvbrMethodLookup,2.0,2.0,0.0,15.0,2.0,15.0,15.0,5.0,  
LAMEmiscStereoModeLookup,2.0,2.0,0.0,13.0,2.0,13.0,13.0,5.0,  
LAMEmiscSourceSampleFrequencyLookup,2.0,2.0,0.0,9.0,2.0,9.0,9.0,5.0,  
LAMEsurroundInfoLookup,2.0,2.0,0.0,9.0,2.0,9.0,9.0,5.0,  
LAMEpresetUsedLookup,10.0,10.0,16.0,39.0,34.0,52.0,36.0,25000.0,  
Analyze,33.0,40.0,17.0,209.0,182.0,281.0,264.0,1943040.0,  
ParseVorbisPageHeader,5.0,5.0,5.0,45.0,39.0,47.0,42.0,16.0,  
ParseOggPageHeader,6.0,8.0,8.0,43.0,36.0,50.0,42.0,22.0,  
ParseVorbisComments,28.0,31.0,21.0,147.0,125.0,219.0,198.0,63240.0,  
SpeexBandModeLookup,3.0,3.0,0.0,9.0,6.0,9.0,9.0,10.0,  
OggPageSegmentLength,4.0,4.0,0.0,12.0,7.0,12.0,12.0,4.0,  
get_quality_from_nominal_bitrate,4.0,4.0,8.0,13.0,9.0,22.0,14.0,4.0,  
Analyze,65.0,70.0,22.0,217.0,179.0,270.0,248.0,3172800.0,  
parseAPEheaderFooter,3.0,3.0,2.0,18.0,14.0,23.0,21.0,4.0,  
parseAPEtagFlags,1.0,1.0,3.0,9.0,7.0,14.0,11.0,1.0,  
APEcontentTypeFlagLookup,2.0,2.0,0.0,9.0,2.0,9.0,9.0,5.0,  
APEtagItemIsUTF8Lookup,1.0,1.0,0.0,28.0,2.0,28.0,28.0,1.0,  
Analyze,13.0,16.0,12.0,59.0,40.0,84.0,72.0,19208.0,  
cutfield,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
ArrayOfGenres,3.0,4.0,4.0,175.0,20.0,183.0,179.0,15.0,  
LookupGenreName,5.0,5.0,1.0,15.0,11.0,15.0,14.0,20.0,  
LookupGenreID,3.0,3.0,0.0,10.0,6.0,10.0,10.0,3.0,  
StandardiseID3v1GenreName,2.0,2.0,0.0,6.0,3.0,6.0,6.0,2.0,  
GenerateID3v1Tag,6.0,9.0,2.0,30.0,23.0,31.0,29.0,45.0,  
Analyze,65.0,82.0,125.0,283.0,228.0,473.0,348.0,1.62920805E12,  
ParseID3v2GenreString,5.0,5.0,3.0,18.0,11.0,21.0,18.0,8.0,  
ParseID3v2Frame,176.0,310.0,403.0,925.0,756.0,1420.0,1017.0,1.43938208E8,  
DeUnsynchronise,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
LookupExtendedHeaderRestrictionsTagSizeLimits,2.0,2.0,0.0,9.0,2.0,9.0,9.0,5.0,  
LookupExtendedHeaderRestrictionsTextEncodings,2.0,2.0,0.0,7.0,2.0,7.0,7.0,5.0,  
LookupExtendedHeaderRestrictionsTextFieldSize,2.0,2.0,0.0,9.0,2.0,9.0,9.0,5.0,  
LookupExtendedHeaderRestrictionsImageEncoding,2.0,2.0,0.0,7.0,2.0,7.0,7.0,5.0,  
LookupExtendedHeaderRestrictionsImageSizeSize,2.0,2.0,0.0,9.0,2.0,9.0,9.0,5.0,  
LookupCurrencyUnits,1.0,1.0,188.0,4.0,2.0,195.0,7.0,1.0,  
LookupCurrencyCountry,1.0,1.0,187.0,4.0,2.0,194.0,7.0,1.0,  
LanguageLookup,2.0,2.0,440.0,7.0,4.0,454.0,14.0,2.0,  
ETCOEventLookup,5.0,8.0,0.0,40.0,8.0,42.0,42.0,135.0,  
SYTLContentTypeLookup,2.0,2.0,3.0,14.0,2.0,15.0,12.0,5.0,  
APICPictureTypeLookup,3.0,3.0,0.0,29.0,4.0,29.0,29.0,10.0,  
COMRReceivedAsLookup,2.0,2.0,0.0,14.0,2.0,15.0,15.0,5.0,  
RVA2ChannelTypeLookup,2.0,2.0,0.0,14.0,2.0,15.0,15.0,5.0,  
FrameNameLongLookup,1.0,1.0,174.0,4.0,2.0,182.0,8.0,1.0,  
FrameNameShortLookup,1.0,1.0,171.0,4.0,2.0,178.0,7.0,1.0,  
TextEncodingTerminatorLookup,2.0,2.0,6.0,10.0,2.0,12.0,6.0,5.0,  
TextEncodingNameLookup,2.0,2.0,6.0,10.0,2.0,12.0,6.0,5.0,  
IsValidID3v2FrameName,4.0,4.0,0.0,12.0,9.0,13.0,13.0,3.0,  
IsANumber,5.0,9.0,2.0,12.0,6.0,14.0,12.0,9.0,  
IsValidDateStampString,8.0,15.0,0.0,27.0,18.0,27.0,27.0,1152.0,  
ID3v2HeaderLength,2.0,2.0,0.0,3.0,1.0,3.0,3.0,5.0,  
Analyze,14.0,15.0,14.0,70.0,58.0,104.0,90.0,126.0,  
getLyrics3Data,25.0,26.0,2.0,101.0,76.0,123.0,121.0,368880.0,  
Lyrics3Timestamp2Seconds,2.0,2.0,0.0,6.0,3.0,6.0,6.0,2.0,  
Lyrics3LyricsTimestampParse,7.0,9.0,2.0,27.0,18.0,29.0,27.0,33.0,  
IntString2Bool,3.0,3.0,0.0,8.0,5.0,8.0,8.0,3.0,  
create,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
__construct,1.0,1.0,8.0,6.0,4.0,15.0,7.0,1.0,  
save,2.0,2.0,0.0,7.0,5.0,8.0,8.0,2.0,  
load,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
mtime,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
touch,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
unlink,1.0,1.0,0.0,5.0,3.0,5.0,5.0,1.0,  
__construct,5.0,5.0,1.0,30.0,21.0,36.0,35.0,9.0,  
is_enabled,1.0,2.0,0.0,3.0,1.0,3.0,3.0,1.0,  
use_authentication,1.0,2.0,0.0,3.0,1.0,3.0,3.0,1.0,  
host,2.0,2.0,0.0,5.0,3.0,6.0,6.0,2.0,  
port,2.0,2.0,0.0,5.0,3.0,6.0,6.0,2.0,  
username,2.0,2.0,0.0,5.0,3.0,6.0,6.0,2.0,  
password,2.0,2.0,0.0,5.0,3.0,6.0,6.0,2.0,  
authentication,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
authentication_header,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
send_through_proxy,9.0,10.0,3.0,28.0,23.0,39.0,36.0,192.0,  
Services_JSON,1.0,1.0,0.0,6.0,4.0,7.0,7.0,1.0,  
utf162utf8,5.0,5.0,8.0,18.0,11.0,32.0,24.0,6.0,  
utf82utf16,5.0,5.0,8.0,19.0,10.0,32.0,24.0,6.0,  
encode,1.0,1.0,0.0,4.0,2.0,5.0,5.0,1.0,  
encodeUnsafe,1.0,1.0,1.0,7.0,5.0,10.0,9.0,1.0,  
_encode,41.0,45.0,39.0,158.0,116.0,232.0,193.0,76.0,  
name_value,2.0,2.0,0.0,7.0,4.0,10.0,10.0,2.0,  
reduce_string,1.0,1.0,4.0,8.0,2.0,18.0,14.0,1.0,  
decode,49.0,67.0,47.0,174.0,140.0,277.0,230.0,842.0,  
isError,3.0,5.0,0.0,9.0,5.0,11.0,11.0,5.0,  
strlen8,2.0,2.0,0.0,6.0,3.0,7.0,7.0,2.0,  
substr8,3.0,3.0,0.0,9.0,5.0,10.0,10.0,4.0,  
Services_JSON_Error,1.0,1.0,0.0,3.0,1.0,5.0,5.0,1.0,  
Services_JSON_Error,1.0,1.0,0.0,2.0,0.0,5.0,5.0,1.0,  
__construct,7.0,7.0,1.0,24.0,17.0,29.0,28.0,32.0,  
__toString,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
__destruct,6.0,8.0,0.0,21.0,9.0,22.0,22.0,12.0,  
force_feed,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
set_feed_url,3.0,3.0,0.0,14.0,5.0,15.0,15.0,3.0,  
set_file,2.0,2.0,0.0,9.0,5.0,10.0,10.0,2.0,  
set_raw_data,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
set_timeout,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
force_fsockopen,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
enable_cache,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
set_cache_duration,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
set_autodiscovery_cache_duration,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
set_cache_location,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
enable_order_by_date,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
set_input_encoding,2.0,2.0,0.0,10.0,3.0,11.0,11.0,2.0,  
set_autodiscovery_level,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
get_registry,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
set_cache_class,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
set_locator_class,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
set_parser_class,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
set_file_class,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
set_sanitize_class,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
set_item_class,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
set_author_class,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
set_category_class,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
set_enclosure_class,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
set_caption_class,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
set_copyright_class,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
set_credit_class,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
set_rating_class,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
set_restriction_class,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
set_content_type_sniffer_class,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
set_source_class,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
set_useragent,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
set_cache_name_function,2.0,2.0,0.0,6.0,2.0,7.0,7.0,2.0,  
set_stupidly_fast,2.0,2.0,0.0,11.0,7.0,12.0,12.0,2.0,  
set_max_checked_feeds,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
remove_div,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
strip_htmltags,3.0,3.0,0.0,11.0,5.0,12.0,12.0,4.0,  
encode_instead_of_strip,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
strip_attributes,2.0,2.0,0.0,7.0,3.0,8.0,8.0,2.0,  
set_output_encoding,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
strip_comments,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
set_url_replacements,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
set_image_handler,2.0,2.0,0.0,10.0,3.0,11.0,11.0,2.0,  
set_item_limit,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
init,28.0,38.0,18.0,143.0,85.0,183.0,165.0,655200.0,  
fetch_data,23.0,31.0,16.0,130.0,66.0,155.0,139.0,6336.0,  
error,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
get_raw_data,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
get_encoding,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
handle_content_type,3.0,3.0,0.0,15.0,7.0,16.0,16.0,3.0,  
get_type,17.0,23.0,0.0,73.0,40.0,79.0,79.0,37.0,  
subscribe_url,2.0,2.0,0.0,10.0,3.0,11.0,11.0,2.0,  
get_feed_tags,9.0,9.0,0.0,32.0,14.0,33.0,33.0,81.0,  
get_channel_tags,12.0,12.0,0.0,41.0,17.0,42.0,42.0,192.0,  
get_image_tags,10.0,10.0,0.0,34.0,14.0,35.0,35.0,64.0,  
get_base,3.0,5.0,0.0,14.0,5.0,15.0,15.0,5.0,  
sanitize,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
get_title,8.0,8.0,0.0,34.0,15.0,35.0,35.0,8.0,  
get_category,2.0,2.0,0.0,11.0,4.0,12.0,12.0,2.0,  
get_categories,10.0,10.0,2.0,51.0,25.0,56.0,54.0,216.0,  
get_author,2.0,2.0,0.0,11.0,4.0,12.0,12.0,2.0,  
get_authors,15.0,19.0,0.0,67.0,34.0,69.0,69.0,17424.0,  
get_contributor,2.0,2.0,0.0,11.0,4.0,12.0,12.0,2.0,  
get_contributors,12.0,16.0,0.0,55.0,28.0,57.0,57.0,2178.0,  
get_link,2.0,2.0,0.0,11.0,4.0,12.0,12.0,2.0,  
get_permalink,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
get_links,18.0,18.0,0.0,69.0,31.0,73.0,73.0,5122.0,  
get_all_discovered_feeds,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
get_description,10.0,10.0,0.0,42.0,19.0,43.0,43.0,10.0,  
get_copyright,6.0,6.0,0.0,26.0,11.0,27.0,27.0,6.0,  
get_language,8.0,8.0,0.0,34.0,15.0,35.0,35.0,8.0,  
get_latitude,3.0,4.0,0.0,14.0,5.0,16.0,16.0,4.0,  
get_longitude,4.0,5.0,0.0,18.0,7.0,19.0,19.0,5.0,  
get_image_title,6.0,6.0,0.0,26.0,11.0,27.0,27.0,6.0,  
get_image_url,7.0,7.0,0.0,30.0,13.0,31.0,31.0,7.0,  
get_image_link,4.0,4.0,0.0,18.0,7.0,19.0,19.0,4.0,  
get_image_width,3.0,4.0,0.0,14.0,5.0,15.0,15.0,4.0,  
get_image_height,3.0,4.0,0.0,14.0,5.0,15.0,15.0,4.0,  
get_item_quantity,3.0,3.0,0.0,12.0,5.0,13.0,13.0,6.0,  
get_item,2.0,2.0,0.0,11.0,4.0,12.0,12.0,2.0,  
get_items,20.0,21.0,2.0,94.0,42.0,99.0,97.0,4655.0,  
set_favicon_handler,2.0,2.0,0.0,5.0,3.0,6.0,6.0,5.0,  
get_favicon,3.0,3.0,0.0,9.0,5.0,12.0,12.0,10.0,  
__call,5.0,5.0,0.0,19.0,13.0,21.0,21.0,36.0,  
sort_items,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
merge_items,8.0,9.0,0.0,44.0,19.0,47.0,47.0,38.0,  
fetch,29.0,33.0,12.0,116.0,71.0,138.0,126.0,33648.0,  
submit,33.0,37.0,13.0,128.0,81.0,154.0,141.0,67248.0,  
fetchlinks,6.0,6.0,0.0,19.0,11.0,21.0,21.0,13.0,  
fetchform,4.0,4.0,0.0,15.0,7.0,19.0,19.0,4.0,  
fetchtext,4.0,4.0,0.0,15.0,7.0,16.0,16.0,4.0,  
submitlinks,7.0,7.0,0.0,25.0,13.0,26.0,26.0,11.0,  
submittext,7.0,7.0,0.0,25.0,13.0,26.0,26.0,11.0,  
set_submit_multipart,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
set_submit_normal,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
_striplinks,5.0,5.0,2.0,18.0,8.0,26.0,24.0,9.0,  
_stripform,1.0,1.0,2.0,5.0,3.0,10.0,8.0,1.0,  
_striptext,1.0,1.0,17.0,52.0,4.0,60.0,43.0,1.0,  
_expandlinks,1.0,1.0,0.0,22.0,9.0,29.0,29.0,1.0,  
_httprequest,36.0,43.0,11.0,121.0,88.0,153.0,142.0,3.973536E9,  
_httpsrequest,32.0,35.0,11.0,106.0,77.0,141.0,130.0,1.306368E8,  
setcookies,3.0,3.0,0.0,7.0,3.0,8.0,8.0,3.0,  
_check_timeout,3.0,3.0,0.0,10.0,6.0,11.0,11.0,3.0,  
_connect,6.0,7.0,2.0,40.0,20.0,47.0,45.0,15.0,  
_disconnect,1.0,1.0,0.0,3.0,1.0,4.0,4.0,1.0,  
_prepare_post_body,13.0,16.0,0.0,53.0,42.0,62.0,62.0,75.0,  
__construct,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
test,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
supports_mime_type,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
load,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,  
